,Edits,Name,date,url,category
0,71,Invention,2002-03,https://en.wikipedia.org/wiki/Invention,"['Inventions', 'Creativity', 'Human activities', 'Inventors']"
1,68,Academy Award for Best Picture,2002-03,https://en.wikipedia.org/wiki/Academy%20Award%20for%20Best%20Picture,"['Academy Awards', 'Awards for best film', 'Best Picture Academy Award winners']"
2,51,Sex education,2002-03,https://en.wikipedia.org/wiki/Sex%20education,"['Sex education', 'Prevention of HIV/AIDS', 'Sexuality and society', 'Harm reduction']"
3,36,380,2002-03,https://en.wikipedia.org/wiki/380,['380']
4,34,Bubble fusion,2002-03,https://en.wikipedia.org/wiki/Bubble%20fusion,"['Nuclear fusion', 'Fusion power', 'Cold fusion', 'Physical phenomena', 'Bubbles (physics)']"
0,37,Chess,2002-04,https://en.wikipedia.org/wiki/Chess,"['Chess', 'Abstract strategy games', 'Individual sports', 'Indian inventions', 'Traditional board games', 'Partially solved games', 'Games related to chaturanga']"
1,36,Stochastic process,2002-04,https://en.wikipedia.org/wiki/Stochastic%20process,"['Stochastic processes', 'Stochastic models', 'Statistical data types']"
2,32,Randomness,2002-04,https://en.wikipedia.org/wiki/Randomness,"['Randomness', 'Cryptography', 'Statistical randomness']"
3,29,Normal distribution,2002-04,https://en.wikipedia.org/wiki/Normal%20distribution,"['Normal distribution', 'Continuous distributions', 'Conjugate prior distributions', 'Exponential family distributions', 'Stable distributions', 'Location-scale family probability distributions']"
4,28,Queen Elizabeth The Queen Mother,2002-04,https://en.wikipedia.org/wiki/Queen%20Elizabeth%20The%20Queen%20Mother,"['Queen Elizabeth The Queen Mother', '1900 births', '2002 deaths', '19th-century British people', '19th-century British women', '20th-century British people', '20th-century British women', '21st-century British people', '21st-century British women', 'Bowes-Lyon family', 'British Anglicans', 'British centenarians', 'British royal consorts', 'British women in World War II', ""Burials at St George's Chapel, Windsor Castle"", 'Chancellors of the University of Dundee', 'Chancellors of the University of London', 'Companions of the Order of the Crown of India', 'Dames Grand Cross of the Order of St John', 'Dames Grand Cross of the Order of the British Empire', 'Dames Grand Cross of the Royal Victorian Order', 'Daughters of British earls', 'Double dames', 'Duchesses of York', 'George VI', 'Grand Cordons of the Order of the Precious Crown', ""Grand Croix of the Légion d'honneur"", 'Grand Crosses of the Order of St. Sava', 'Grand Crosses of the Order of the Crown (Romania)', 'Grand Crosses of the Order of the Sun of Peru', 'Honorary Companions of the Order of Canada', 'Honorary air commodores', 'House of Windsor', 'Indian empresses', 'Infectious disease deaths in England', 'Jewellery collectors', 'Ladies of the Garter', 'Ladies of the Thistle', 'Lords Warden of the Cinque Ports', 'Members of the Order of New Zealand', 'Members of the Royal Red Cross', 'People from Angus, Scotland', 'People from Hitchin', 'Recipients of the War Cross with Sword (Norway)', 'Residents of White Lodge, Richmond Park', 'Victoria Medal of Honour (Horticulture) recipients', 'Wives of British princes', 'Women centenarians']"
0,51,Nicolaus Copernicus,2002-05,https://en.wikipedia.org/wiki/Nicolaus%20Copernicus,"['Nicolaus Copernicus', '1473 births', '1543 deaths', '16th-century German writers', '16th-century German male writers', '16th-century Latin-language writers', '16th-century mathematicians', '16th-century Polish writers', '16th-century male writers', 'Anglican saints', 'Burials at Frombork Cathedral', 'Canons of Warmia', 'Copernican Revolution', '16th-century German astronomers', 'German economists', 'German philosophers', 'German Roman Catholics', 'Jagiellonian University alumni', 'People celebrated in the Lutheran liturgical calendar', 'People from Royal Prussia', 'People from Toruń', 'People of the Polish–Teutonic War (1519–1521)', '15th-century Polish astronomers', 'Polish economists', '16th-century Polish philosophers', 'Polish Roman Catholics', 'Renaissance scientists', 'Catholic clergy scientists', 'University of Bologna alumni', 'University of Ferrara alumni', 'University of Padua alumni', '16th-century German mathematicians', '16th-century Polish astronomers', 'Latin-language writers from Poland']"
1,36,Jenin,2002-05,https://en.wikipedia.org/wiki/Jenin,"['Jenin', 'Bronze Age sites in the State of Palestine', 'Cities in the West Bank', 'Jenin Governorate', 'Municipalities of the State of Palestine', 'Palestinian Christian communities']"
2,35,Palestinian political violence,2002-05,https://en.wikipedia.org/wiki/Palestinian%20political%20violence,"['Israeli–Palestinian conflict', 'Political violence in the Palestinian territories', 'Political violence in the State of Palestine', 'Palestinian terrorism', 'Terrorism in Israel', 'Terrorism in Mandatory Palestine']"
3,28,Pim Fortuyn,2002-05,https://en.wikipedia.org/wiki/Pim%20Fortuyn,"['1948 births', '2002 deaths', 'Assassinated Dutch politicians', 'Christian critics of Islam', 'Critics of multiculturalism', 'Deaths by firearm in the Netherlands', 'Dutch civil servants', 'Dutch corporate directors', 'Dutch critics of Islam', 'Dutch educators', 'Dutch political consultants', 'Dutch political philosophers', 'Dutch political party founders', 'Dutch publishers (people)', 'Dutch republicans', 'Dutch Roman Catholics', 'Dutch sociologists', 'Critical theorists', 'Erasmus University Rotterdam faculty', 'Free speech activists', 'Gay politicians', 'Dutch gay writers', 'Islam-related controversies in Europe', 'Islam in the Netherlands', 'Leaders of political parties in the Netherlands', 'LGBT broadcasters from the Netherlands', 'LGBT conservatism', 'LGBT politicians from the Netherlands', 'LGBT rights activists from the Netherlands', 'LGBT Roman Catholics', 'LGBT history in the Netherlands', 'Livable Netherlands politicians', 'Livable Rotterdam politicians', 'Economic sociologists', 'Maastricht University faculty', 'Municipal councillors of Rotterdam', 'Nyenrode Business University faculty', 'Party chairs of the Netherlands', 'People from Velsen', 'People murdered in the Netherlands', 'Pim Fortuyn List politicians', '21st-century Dutch politicians', 'Political science writers', 'University of Groningen alumni', 'University of Groningen faculty', 'Vrije Universiteit Amsterdam alumni', 'Writers about direct democracy', 'Writers about globalization', 'Writers about communism', 'Writers about activism and social change', 'University of Amsterdam alumni', 'Far-right politics', 'Former Marxists']"
4,26,Ten Commandments,2002-05,https://en.wikipedia.org/wiki/Ten%20Commandments,"['Ten Commandments', 'Biblical phrases', 'Book of Deuteronomy', 'Book of Exodus', 'Biblical law', 'Codes of conduct', 'Commandments', 'Jewish ethics', 'Jewish law and rituals', 'Judeo-Christian topics', 'Moses', 'Mosaic law in Christian theology', 'Theophanies in the Hebrew Bible']"
0,193,2002 FIFA World Cup,2002-06,https://en.wikipedia.org/wiki/2002%20FIFA%20World%20Cup,"['2002 FIFA World Cup', 'FIFA World Cup tournaments', 'International association football competitions hosted by South Korea', 'International association football competitions hosted by Japan', 'Japan–South Korea relations', '2002 in South Korean football', '2002 in Japanese football', 'May 2002 sports events in Asia', 'June 2002 sports events in Asia']"
1,180,Chinese sovereign,2002-06,https://en.wikipedia.org/wiki/Chinese%20sovereign,"['Political history of China', 'Heads of state', 'Chinese emperors', 'Chinese government officials']"
2,95,Marco Polo Bridge Incident,2002-06,https://en.wikipedia.org/wiki/Marco%20Polo%20Bridge%20Incident,"['Battles of the Second Sino-Japanese War', 'Combat incidents', 'Conflicts in 1937', '1937 in China', '1937 in Japan', 'Military history of Beijing', '20th century in Beijing', 'July 1937 events']"
3,93,Han dynasty,2002-06,https://en.wikipedia.org/wiki/Han%20dynasty,"['Han dynasty', 'States and territories established in the 3rd century BC', 'States and territories disestablished in the 3rd century', '1st century BC in China', '1st century in China', '2nd century BC in China', '2nd century in China', '200s BC establishments', '206 BC', '220 disestablishments', '3rd-century BC establishments in China', '3rd-century disestablishments in China', '3rd century BC in China', 'Dynasties in Chinese history', 'Former countries in Chinese history']"
4,91,Five Barbarians,2002-06,https://en.wikipedia.org/wiki/Five%20Barbarians,"['Five Barbarians', 'Sixteen Kingdoms', 'Three Kingdoms', 'Ancient peoples of China', 'Mongol peoples', 'Jin dynasty (266–420)', 'Wars involving Imperial China', 'Barbarians']"
0,123,List of novelists by nationality,2002-07,https://en.wikipedia.org/wiki/List%20of%20novelists%20by%20nationality,"['Lists of literature lists', 'Lists of writers by nationality', 'Lists of novelists', 'Novelists by nationality']"
1,55,Main Page,2002-07,https://en.wikipedia.org/wiki/Main%20Page,['no category']
2,43,List of The Simpsons characters,2002-07,https://en.wikipedia.org/wiki/List%20of%20The%20Simpsons%20characters,"['Lists of characters in American television animation by series', 'The Simpsons characters', 'The Simpsons lists', 'Animated human characters', 'Characters created by Matt Groening', 'Lists of American sitcom television characters', 'Lists of characters in American television adult animation']"
3,43,Montmartre,2002-07,https://en.wikipedia.org/wiki/Montmartre,"['Montmartre', 'Districts of Paris', 'Tourist attractions in Paris', '18th arrondissement of Paris', 'Artist colonies', 'Former communes of Seine']"
4,43,Attention deficit hyperactivity disorder,2002-07,https://en.wikipedia.org/wiki/Attention%20deficit%20hyperactivity%20disorder,"['Attention deficit hyperactivity disorder', '1987 neologisms', 'Ailments of unknown cause', 'Amphetamine', 'Attention disorders', 'Learning disabilities', 'Methylphenidate']"
0,124,Law,2002-08,https://en.wikipedia.org/wiki/Law,"['Law', 'Main topic articles', 'Justice']"
1,73,List of films preserved in the United States National Film Registry,2002-08,https://en.wikipedia.org/wiki/List%20of%20films%20preserved%20in%20the%20United%20States%20National%20Film%20Registry,"['1988 establishments in the United States', '1988 in American cinema', 'Cultural infrastructure completed in 1988', 'Cinema of the United States', 'Film archives in the United States', 'History of film', 'Library of Congress', 'Reference material lists', 'Film preservation']"
2,72,Paris,2002-08,https://en.wikipedia.org/wiki/Paris,"['Paris', '3rd-century BC establishments', 'Capitals in Europe', 'Catholic pilgrimage sites', 'Cities in France', 'Cities in Île-de-France', 'Companions of the Liberation', 'Departments of Île-de-France', 'European culture', 'French culture', 'Populated places established in the 3rd century BC', 'Prefectures in France', 'Gallia Lugdunensis']"
3,67,United States,2002-08,https://en.wikipedia.org/wiki/United%20States,"['United States', 'Countries in North America', 'English-speaking countries and territories', 'Federal constitutional republics', 'Former British colonies and protectorates in the Americas', 'Former confederations', 'G7 nations', 'G20 nations', 'Member states of NATO', 'Member states of the United Nations', 'States and territories established in 1776', 'Superpowers', 'Transcontinental countries']"
4,61,Biblical canon,2002-08,https://en.wikipedia.org/wiki/Biblical%20canon,"['Bible', 'Christian terminology', 'Development of the Christian biblical canon']"
0,140,Lists of Canadians,2002-09,https://en.wikipedia.org/wiki/Lists%20of%20Canadians,"['Lists of lists of people', 'Lists of Canadian people']"
1,117,List of French people,2002-09,https://en.wikipedia.org/wiki/List%20of%20French%20people,['Lists of French people']
2,100,Zeus,2002-09,https://en.wikipedia.org/wiki/Zeus,"['Zeus', 'Children of Cronus', 'Deities in the Iliad', 'Jovian deities', 'Justice gods', 'Kings in Greek mythology', 'Mythological rapists', 'Oracular gods', 'Shapeshifting', 'Sky and weather gods', 'Thunder gods', 'Metamorphoses characters', 'Consorts of Aphrodite', 'Characters in the Odyssey', 'Characters in the Argonautica', 'Homosexuality and bisexuality deities', 'LGBT themes in Greek mythology', 'Solar gods', 'Characters in Greek mythology', 'Rape of Persephone', 'Consorts of Demeter', 'Consorts of Selene', 'Consorts of Gaia', 'Twelve Olympians']"
3,76,Jehovah's Witnesses,2002-09,https://en.wikipedia.org/wiki/Jehovah's%20Witnesses,"[""Jehovah's Witnesses"", '1870 establishments in Pennsylvania', 'Apocalyptic groups', 'Bible Student movement', 'Christian groups with annihilationist beliefs', 'Christian new religious movements', 'Nontrinitarian denominations', 'Premillennialism', 'Religious belief systems founded in the United States', 'Religious identity', 'Religious organizations established in 1870', 'Restorationism (Christianity)']"
4,74,Heracles,2002-09,https://en.wikipedia.org/wiki/Heracles,"['Oracular gods', 'Sports deities', 'Greek mythological heroes', 'Argonauts', 'Heroes who ventured to Hades', 'Perseid dynasty', 'Children of Zeus', 'Demigods in classical mythology', 'Characters in the Argonautica', 'Heracles', 'Deeds of Apollo', 'Deeds of Athena', 'Theban characters in Greek mythology', 'Homosexuality and bisexuality deities', 'LGBT themes in Greek mythology', 'Characters in Greek mythology', 'Mythology of Heracles', 'Suicides in Greek mythology', 'Mythology of Argos', 'Deeds of Artemis', 'Helios in mythology', 'Divine twins', 'Lion deities', 'Deeds of Hera']"
0,169,Christopher Columbus,2002-10,https://en.wikipedia.org/wiki/Christopher%20Columbus,"['Christopher Columbus', '1451 births', '1506 deaths', '1490s in Cuba', '1490s in the Caribbean', '1492 in North America', '15th-century apocalypticists', '15th-century explorers', '15th-century Genoese people', '16th-century Genoese people', '15th-century Roman Catholics', 'Spanish exploration in the Age of Discovery', 'Burials at Seville Cathedral', 'Colonial governors of Santo Domingo', 'Columbus family', 'Explorers of Central America', 'History of Hispaniola', 'History of the Caribbean', 'Italian expatriates in Spain', 'Italian explorers of North America', 'Italian explorers of South America', 'Italian Roman Catholics', 'Explorers from the Republic of Genoa', '16th-century diarists']"
1,158,Anarchism,2002-10,https://en.wikipedia.org/wiki/Anarchism,"['Anarchism', 'Anti-capitalism', 'Anti-fascism', 'Economic ideologies', 'Left-wing politics', 'Libertarian socialism', 'Libertarianism', 'Political culture', 'Political movements', 'Political ideologies', 'Social theories', 'Socialism', 'Far-left politics']"
2,136,Lists of Canadians,2002-10,https://en.wikipedia.org/wiki/Lists%20of%20Canadians,"['Lists of lists of people', 'Lists of Canadian people']"
3,129,Politics of Canada,2002-10,https://en.wikipedia.org/wiki/Politics%20of%20Canada,"['Politics of Canada', 'Political history of Canada', 'Westminster system']"
4,121,List of mathematics articles,2002-10,https://en.wikipedia.org/wiki/List%20of%20mathematics%20articles,"['Lists of mathematics lists', 'Mathematics-related lists', 'Outlines of mathematics and logic', 'Wikipedia outlines', 'Lists of topics']"
0,206,Timeline of Chinese history,2002-11,https://en.wikipedia.org/wiki/Timeline%20of%20Chinese%20history,"['Years in China', 'History of China', 'Timelines by country', 'China history-related lists', 'Chinese history timelines']"
1,94,George W. Bush,2002-11,https://en.wikipedia.org/wiki/George%20W.%20Bush,"['George W. Bush', '1946 births', 'Living people', '20th-century American businesspeople', '20th-century American Episcopalians', '20th-century American politicians', '20th-century Methodists', '21st-century American painters', '21st-century American politicians', '21st-century American non-fiction writers', '21st-century Methodists', '21st-century presidents of the United States', '20th-century American people', '21st-century American people', 'Alabama National Guard personnel', 'American biographers', 'American businesspeople in the oil industry', 'American financiers', 'American investors', 'American male painters', '20th-century American memoirists', 'American motivational speakers', 'American political writers', 'American rugby union players', 'American United Methodists', 'Aviators from Connecticut', 'Aviators from Texas', 'American people of Dutch descent', 'Bush family', 'Businesspeople from Connecticut', 'Candidates in the 1978 United States elections', 'Candidates in the 2000 United States presidential election', 'Candidates in the 2004 United States presidential election', 'Children of presidents of the United States', 'Children of vice presidents of the United States', 'Converts to Methodism from Anglicanism', 'Delta Kappa Epsilon', 'Governors of Texas', 'Grand Crosses of the Order of Vytautas the Great', 'Harvard Business School alumni', 'The Kinkaid School alumni', 'Livingston family', 'American male biographers', 'Methodists from Texas', 'National Guard (United States) officers', 'Painters from Connecticut', 'Painters from Texas', 'People associated with the September 11 attacks', 'People from Crawford, Texas', 'People from Midland, Texas', 'Phillips Academy alumni', 'Presidents of the United States', 'Ranchers from Texas', 'Recipients of the Order of the Cross of Terra Mariana, 1st Class', 'Recipients of the Order of the Star of Romania', ""Recipients of St. George's Order of Victory"", 'Republican Party (United States) presidential nominees', 'Republican Party presidents of the United States', 'Republican Party state governors of the United States', 'Rugby union players from Connecticut', 'Schuyler family', 'Skull and Bones Society', 'Sons of the American Revolution', 'Sportspeople from New Haven, Connecticut', 'Sportspeople from Texas', 'Texas National Guard personnel', 'Texas Rangers executives', 'Texas Rangers owners', 'Texas Republicans', 'Time Person of the Year', 'United States Air Force officers', 'Writers from New Haven, Connecticut', 'Writers from Texas', 'Yale University alumni', 'Children of George H. W. Bush']"
2,92,Van Allen radiation belt,2002-11,https://en.wikipedia.org/wiki/Van%20Allen%20radiation%20belt,"['1958 in science', 'Geomagnetism', 'Space physics', 'Space plasmas']"
3,81,Earth,2002-11,https://en.wikipedia.org/wiki/Earth,"['Solar System', 'Earth', 'Astronomical objects known since antiquity', 'Global natural environment', 'Planets in the circumstellar habitable zone', 'Nature', 'Planets of the Solar System', 'Terrestrial planets']"
4,81,Old English,2002-11,https://en.wikipedia.org/wiki/Old%20English,"['Languages with ISO6 code', 'English languages', 'Medieval languages', 'Old English', 'Languages attested from the 5th century', '5th-century establishments in England', 'Languages extinct in the 13th century', '13th-century disestablishments in Europe', 'North Sea Germanic']"
0,119,Fifth World,2002-12,https://en.wikipedia.org/wiki/Fifth%20World,['Disambiguation pages']
1,115,Empire of Atlantium,2002-12,https://en.wikipedia.org/wiki/Empire%20of%20Atlantium,"['Micronations in Australia', '1981 establishments in Australia']"
2,114,Richard Wagner,2002-12,https://en.wikipedia.org/wiki/Richard%20Wagner,"['Richard Wagner', '1813 births', '1883 deaths', '19th-century classical composers', '19th-century conductors (music)', '19th-century German composers', '19th-century German male musicians', '19th-century theatre', 'German autobiographers', 'German conductors (music)', 'German male conductors (music)', 'German opera composers', 'German male classical composers', 'German essayists', 'German music critics', 'German nationalism', 'German opera directors', 'German opera librettists', 'German Romantic composers', 'German theatre directors', 'Leipzig University alumni', 'Music in Bavaria', 'Musicians from Dresden', 'Musicians from Leipzig', 'Opera managers', 'People educated at the Kreuzschule', 'People educated at the St. Thomas School, Leipzig', 'People of the Revolutions of 1848', 'Romanticism', 'Wagner family']"
3,93,The Jerky Boys,2002-12,https://en.wikipedia.org/wiki/The%20Jerky%20Boys,"['American comedy duos', 'People from Queens, New York', 'Select Records artists', 'Prank calling', 'Pranksters', 'Comedians from New York (state)', 'Mercury Records artists']"
4,90,Deng Xiaoping,2002-12,https://en.wikipedia.org/wiki/Deng%20Xiaoping,"[""Vice Premiers of the People's Republic of China"", 'Deng Xiaoping', '1904 births', '1997 deaths', '20th-century Chinese heads of government', '20th-century Chinese writers', 'Chinese diplomats', 'Chinese expatriates in France', 'Chinese expatriates in the Soviet Union', 'Chinese guerrillas', 'Chinese Marxists', 'Chinese nationalists', 'Chinese people of World War II', 'Chinese politicians of Hakka descent', 'Chinese reformers', 'Chinese revolutionaries', 'Chinese Communist Party politicians from Sichuan', 'Communist rulers', 'Communist University of the Toilers of the East alumni', ""Neurological disease deaths in the People's Republic of China"", ""Deaths from Parkinson's disease"", 'Hakka writers', 'Members of the 10th Politburo Standing Committee of the Chinese Communist Party', 'Members of the 11th Politburo Standing Committee of the Chinese Communist Party', 'Members of the 12th Politburo Standing Committee of the Chinese Communist Party', 'Members of the 7th Politburo of the Chinese Communist Party', 'Members of the 8th Politburo Standing Committee of the Chinese Communist Party', 'Members of the Secretariat of the Chinese Communist Party', ""Ministers of Finance of the People's Republic of China"", 'Moscow Sun Yat-sen University alumni', 'People of the Chinese Civil War', ""People's Liberation Army Chiefs of General Staff"", ""People's Republic of China politicians from Sichuan"", ""Politicians from Guang'an"", 'Politicide perpetrators', 'Spouses of Chinese politicians', 'Time Person of the Year', 'Victims of the Cultural Revolution', ""Writers from Guang'an""]"
0,343,New Imperialism,2003-01,https://en.wikipedia.org/wiki/New%20Imperialism,"['New Imperialism', '19th century', 'European colonisation in Africa']"
1,181,2003 in music,2003-01,https://en.wikipedia.org/wiki/2003%20in%20music,"['2003 in music', '2003-related lists', 'Music-related lists', 'Music by year']"
2,130,Micronation,2003-01,https://en.wikipedia.org/wiki/Micronation,"['Micronations', 'Political neologisms', 'Hobbies']"
3,117,Iraq disarmament crisis,2003-01,https://en.wikipedia.org/wiki/Iraq%20disarmament%20crisis,"['Iraq and weapons of mass destruction', 'History of the foreign relations of the United States', 'Iraq–United States relations', 'Iraq–United Kingdom relations', 'Military disbanding and disarmament']"
4,111,Gene,2003-01,https://en.wikipedia.org/wiki/Gene,"['Cloning', 'Genes', 'Molecular biology']"
0,144,Woman,2003-02,https://en.wikipedia.org/wiki/Woman,"['Female', 'Women']"
1,116,Space Shuttle Columbia disaster,2003-02,https://en.wikipedia.org/wiki/Space%20Shuttle%20Columbia%20disaster,"['Space Shuttle Columbia disaster', 'Kalpana Chawla']"
2,99,Ancient weights and measures,2003-02,https://en.wikipedia.org/wiki/Ancient%20weights%20and%20measures,"['Systems of units', 'Measurement', 'Conceptual systems']"
3,98,Protests against the Iraq War,2003-02,https://en.wikipedia.org/wiki/Protests%20against%20the%20Iraq%20War,"['Protests against the Iraq War', '2000s protests', '2010s protests', 'Protests', 'George W. Bush administration controversies']"
4,98,Richard Wagner,2003-02,https://en.wikipedia.org/wiki/Richard%20Wagner,"['Richard Wagner', '1813 births', '1883 deaths', '19th-century classical composers', '19th-century conductors (music)', '19th-century German composers', '19th-century German male musicians', '19th-century theatre', 'German autobiographers', 'German conductors (music)', 'German male conductors (music)', 'German opera composers', 'German male classical composers', 'German essayists', 'German music critics', 'German nationalism', 'German opera directors', 'German opera librettists', 'German Romantic composers', 'German theatre directors', 'Leipzig University alumni', 'Music in Bavaria', 'Musicians from Dresden', 'Musicians from Leipzig', 'Opera managers', 'People educated at the Kreuzschule', 'People educated at the St. Thomas School, Leipzig', 'People of the Revolutions of 1848', 'Romanticism', 'Wagner family']"
0,248,"Afghanistan timeline March 16-31, 2003",2003-03,"https://en.wikipedia.org/wiki/Afghanistan%20timeline%20March%2016-31,%202003","['2003 in Afghanistan', 'Timelines of the War in Afghanistan (2001–2021)']"
1,228,Rachel Corrie,2003-03,https://en.wikipedia.org/wiki/Rachel%20Corrie,"['Rachel Corrie', '1979 births', '2003 deaths', 'American anti-war activists', 'American diarists', 'American expatriates in the State of Palestine', 'Human rights in the Gaza Strip', 'Israel–United States relations', 'Writers from Olympia, Washington', 'Protest-related deaths', 'Second Intifada casualties', 'Evergreen State College alumni', 'Women diarists', '20th-century diarists']"
2,226,Timeline of the 2003 invasion of Iraq,2003-03,https://en.wikipedia.org/wiki/Timeline%20of%20the%202003%20invasion%20of%20Iraq,"['Iraq War', 'Timelines of military conflicts since 1945']"
3,148,Coalition of the willing,2003-03,https://en.wikipedia.org/wiki/Coalition%20of%20the%20willing,"['Political term stubs', 'Political catchphrases']"
4,148,Idolatry,2003-03,https://en.wikipedia.org/wiki/Idolatry,"['Idolatry', 'Judeo-Christian topics']"
0,306,SARS,2003-04,https://en.wikipedia.org/wiki/SARS,"['Severe acute respiratory syndrome', 'Bat virome', 'Zoonotic bacterial diseases', 'Bird diseases', 'Syndromes affecting the respiratory system', 'Atypical pneumonias', 'Sarbecovirus', 'Viral respiratory tract infections', 'Coronavirus-associated diseases']"
1,162,History of Soviet Russia and the Soviet Union (1917–1927),2003-04,https://en.wikipedia.org/wiki/History%20of%20Soviet%20Russia%20and%20the%20Soviet%20Union%20(1917%E2%80%931927),"['1910s in Russia', '1920s in the Soviet Union', 'History of the Soviet Union by period', 'Modern history of Russia']"
2,153,2003 invasion of Iraq,2003-04,https://en.wikipedia.org/wiki/2003%20invasion%20of%20Iraq,"['Iraq War', 'George W. Bush administration controversies', 'Presidency of George W. Bush', 'Invasions of Iraq', 'Invasions by Australia', 'Invasions by Poland', 'Invasions by the United Kingdom', 'Invasions by the United States', 'Iraq–United States relations', 'Operations involving special forces', 'Wars involving the United States', 'Wars involving the United Kingdom', 'Wars involving Denmark', 'Wars involving Australia', 'Wars involving Poland', 'Wars involving Kurdistan Region (Iraq)', 'United States Marine Corps in the Iraq War', 'Conflicts in 2003', 'Campaigns of the Iraq War', '2003 in Iraq']"
3,137,Johnny Reb,2003-04,https://en.wikipedia.org/wiki/Johnny%20Reb,"['American culture', 'American folklore', 'National symbols of the Confederate States of America', 'Cultural history of the American Civil War', 'DC Comics characters', 'American mascots', 'Military slang and jargon', 'National personifications', 'Personifications of country subdivisions']"
4,120,"Afghanistan timeline April 1–15, 2003",2003-04,"https://en.wikipedia.org/wiki/Afghanistan%20timeline%20April%201%E2%80%9315,%202003","['2003 in Afghanistan', 'Timelines of the War in Afghanistan (2001–2021)']"
0,224,Lists of law topics,2003-05,https://en.wikipedia.org/wiki/Lists%20of%20law%20topics,"['Lists of law lists', 'Outlines of laws and legal topics', 'Wikipedia outlines', 'Law', 'Law-related lists']"
1,183,Main Page,2003-05,https://en.wikipedia.org/wiki/Main%20Page,['no category']
2,133,Shock site,2003-05,https://en.wikipedia.org/wiki/Shock%20site,"['Shock sites', 'Internet slang', 'Internet trolling', 'Internet memes', 'Online obscenity controversies', '2000s fads and trends']"
