,level_0,index,date,user,change_amt,year,running_count
147,147,5772,2007-04-16 17:11:00,Timothyarnold85,4,2007,4503
148,148,5774,2007-04-16 17:11:00,Floaterfluss,58,2007,4561
149,149,5771,2007-04-16 17:11:00,PRRfan,-4,2007,4557
150,150,5773,2007-04-16 17:11:00,PRRfan,14,2007,4571
151,151,5768,2007-04-16 17:12:00,PRRfan,2,2007,4573
152,152,5770,2007-04-16 17:12:00,Daysleeper47,0,2007,4573
153,153,6009,2007-04-16 17:12:00,Trampikey,86,2007,4659
154,154,6007,2007-04-16 17:14:00,Alias777,4,2007,4663
155,159,6005,2007-04-16 17:15:00,Zehly,129,2007,4792
156,160,6006,2007-04-16 17:15:00,Sveter,31,2007,4823
157,158,6004,2007-04-16 17:15:00,Trampikey,7,2007,4830
158,156,6002,2007-04-16 17:15:00,Jarsonic,90,2007,4920
159,155,6001,2007-04-16 17:15:00,Moncrief,8,2007,4928
160,157,6003,2007-04-16 17:15:00,Jambalaya~enwiki,8,2007,4936
161,161,5760,2007-04-16 17:16:00,Ebutuoyf2f2,0,2007,4936
162,162,5759,2007-04-16 17:16:00,Ali'i,-8,2007,4928
163,163,5758,2007-04-16 17:16:00,John Stattic,-99,2007,4829
164,164,5997,2007-04-16 17:17:00,Jarsonic,33,2007,4862
165,165,5995,2007-04-16 17:17:00,John Stattic,-8,2007,4854
166,166,5756,2007-04-16 17:17:00,TexasDawg,-123,2007,4731
167,168,5993,2007-04-16 17:18:00,Trampikey,-148,2007,4583
168,167,5754,2007-04-16 17:18:00,HappyCamper,1,2007,4584
169,169,5752,2007-04-16 17:19:00,BoxingNut83,-112,2007,4472
170,170,5751,2007-04-16 17:19:00,PRRfan,18,2007,4490
171,171,5989,2007-04-16 17:20:00,Kizor,258,2007,4748
172,172,5746,2007-04-16 17:20:00,John Stattic,-250,2007,4498
173,173,5990,2007-04-16 17:20:00,BoxingNut83,-9,2007,4489
174,174,5988,2007-04-16 17:20:00,Kizor,-156,2007,4333
175,175,5987,2007-04-16 17:20:00,Dsims209,0,2007,4333
176,176,5985,2007-04-16 17:21:00,Verdafolio,-252,2007,4081
177,177,5984,2007-04-16 17:21:00,PRRfan,-4,2007,4077
178,181,5982,2007-04-16 17:23:00,Umedard,4,2007,4081
179,180,5981,2007-04-16 17:23:00,Decrease789,104,2007,4185
180,182,5983,2007-04-16 17:23:00,PublicSecrecy,217,2007,4402
181,178,5979,2007-04-16 17:23:00,Kizor,259,2007,4661
182,179,5980,2007-04-16 17:23:00,Verdafolio,66,2007,4727
183,183,5977,2007-04-16 17:24:00,Ckatz,0,2007,4727
184,184,5738,2007-04-16 17:24:00,Ali'i,-217,2007,4510
185,185,5976,2007-04-16 17:25:00,Ckatz,4,2007,4514
186,186,5975,2007-04-16 17:25:00,Kizor,-217,2007,4297
187,189,5731,2007-04-16 17:26:00,Jon Ace,20,2007,4317
188,190,5734,2007-04-16 17:26:00,PGPirate,157,2007,4474
189,187,5732,2007-04-16 17:26:00,Fett0001,9,2007,4483
190,188,5733,2007-04-16 17:26:00,HappyCamper,22,2007,4505
191,191,5730,2007-04-16 17:27:00,EnviroGranny,0,2007,4505
192,192,5729,2007-04-16 17:27:00,Jambalaya~enwiki,0,2007,4505
193,193,5728,2007-04-16 17:27:00,Jambalaya~enwiki,-21,2007,4484
194,194,5726,2007-04-16 17:28:00,Jambalaya~enwiki,-157,2007,4327
195,195,5965,2007-04-16 17:28:00,Blakwyte,0,2007,4327
196,196,5727,2007-04-16 17:28:00,THF,86,2007,4413
197,203,5964,2007-04-16 17:29:00,TexasDawg,-256,2007,4157
198,205,5717,2007-04-16 17:29:00,Jambalaya~enwiki,-9,2007,4148
199,204,5716,2007-04-16 17:29:00,PublicSecrecy,41,2007,4189
200,202,5963,2007-04-16 17:29:00,RyzinEnagy,65,2007,4254
201,201,5961,2007-04-16 17:29:00,PublicSecrecy,76,2007,4330
202,200,5960,2007-04-16 17:29:00,TexasDawg,-1,2007,4329
203,199,5959,2007-04-16 17:29:00,Kizor,168,2007,4497
204,198,5958,2007-04-16 17:29:00,Jarsonic,7,2007,4504
205,197,5722,2007-04-16 17:29:00,Jarsonic,1,2007,4505
206,206,5952,2007-04-16 17:30:00,TexasDawg,-173,2007,4332
207,207,5954,2007-04-16 17:30:00,TexasDawg,-1,2007,4331
208,208,5951,2007-04-16 17:30:00,RyzinEnagy,-273,2007,4058
209,209,5953,2007-04-16 17:30:00,Jtalledo,0,2007,4058
210,210,5715,2007-04-16 17:30:00,PublicSecrecy,-114,2007,3944
211,216,5946,2007-04-16 17:31:00,HappyCamper,-1,2007,3943
212,215,5705,2007-04-16 17:31:00,Jtalledo,-9,2007,3934
213,214,5710,2007-04-16 17:31:00,TexasDawg,-105,2007,3829
214,212,5708,2007-04-16 17:31:00,EnviroGranny,-14,2007,3815
215,211,5707,2007-04-16 17:31:00,Jtalledo,9,2007,3824
216,213,5709,2007-04-16 17:31:00,Mike R,-132,2007,3692
217,217,5942,2007-04-16 17:32:00,Ali'i,0,2007,3692
218,218,5943,2007-04-16 17:32:00,Erebus555,1,2007,3693
219,219,5944,2007-04-16 17:32:00,EnviroGranny,20,2007,3713
220,224,5700,2007-04-16 17:33:00,Search4Lancer,-8,2007,3705
221,226,5936,2007-04-16 17:33:00,BoxingNut83,-1,2007,3704
222,223,5695,2007-04-16 17:33:00,EnviroGranny,0,2007,3704
223,225,5701,2007-04-16 17:33:00,Nil Einne,217,2007,3921
224,221,5698,2007-04-16 17:33:00,Kizor,112,2007,4033
225,222,5699,2007-04-16 17:33:00,BoxingNut83,1,2007,4034
226,220,5697,2007-04-16 17:33:00,Mguerard27,23,2007,4057
227,227,5934,2007-04-16 17:34:00,Block1of4,207,2007,4264
228,228,5933,2007-04-16 17:35:00,Kizor,0,2007,4264
229,229,5692,2007-04-16 17:35:00,Daysleeper47,52,2007,4316
230,230,5691,2007-04-16 17:35:00,Jtalledo,-171,2007,4145
231,231,5690,2007-04-16 17:35:00,Alphachimp,0,2007,4145
232,234,5926,2007-04-16 17:36:00,ElKevbo,0,2007,4145
233,235,5927,2007-04-16 17:36:00,Wittylama,9,2007,4154
234,232,5688,2007-04-16 17:36:00,John Stattic,0,2007,4154
235,233,5689,2007-04-16 17:36:00,ElKevbo,75,2007,4229
236,236,5685,2007-04-16 17:37:00,ElKevbo,23,2007,4252
237,237,5684,2007-04-16 17:37:00,John Stattic,-83,2007,4169
238,238,5683,2007-04-16 17:38:00,Ethan,1,2007,4170
239,239,5682,2007-04-16 17:38:00,MPD01605,2,2007,4172
240,240,5681,2007-04-16 17:38:00,Ultrarob,-5,2007,4167
241,241,5680,2007-04-16 17:38:00,John Stattic,-49,2007,4118
242,242,5679,2007-04-16 17:39:00,KeyranC,0,2007,4118
243,243,5678,2007-04-16 17:39:00,Bolivian Unicyclist,73,2007,4191
244,244,5677,2007-04-16 17:40:00,Jarsonic,28,2007,4219
245,245,5676,2007-04-16 17:40:00,Nil Einne,-109,2007,4110
246,249,5672,2007-04-16 17:42:00,Midkay,1,2007,4111
247,248,5673,2007-04-16 17:42:00,Stanley011,0,2007,4111
248,246,5675,2007-04-16 17:42:00,Sesse,5,2007,4116
249,247,5674,2007-04-16 17:42:00,Jmw0000,10,2007,4126
250,250,5668,2007-04-16 17:43:00,OpposingForce,-1,2007,4125
251,251,5670,2007-04-16 17:43:00,OpposingForce,42,2007,4167
252,252,5671,2007-04-16 17:43:00,Djdono,8,2007,4175
253,253,5669,2007-04-16 17:43:00,John Stattic,27,2007,4202
254,254,5667,2007-04-16 17:44:00,John Stattic,-5,2007,4197
255,255,5666,2007-04-16 17:44:00,Robbskey,39,2007,4236
256,256,5665,2007-04-16 17:44:00,Wittylama,-6,2007,4230
257,258,5663,2007-04-16 17:45:00,24fanatics,0,2007,4230
258,257,5664,2007-04-16 17:45:00,Stanley011,0,2007,4230
259,263,5658,2007-04-16 17:46:00,Wittylama,13,2007,4243
260,262,5659,2007-04-16 17:46:00,Threeafterthree,-207,2007,4036
261,259,5662,2007-04-16 17:46:00,Nil Einne,-76,2007,3960
262,260,5661,2007-04-16 17:46:00,Nil Einne,16,2007,3976
263,261,5660,2007-04-16 17:46:00,Stanley011,0,2007,3976
264,266,5657,2007-04-16 17:47:00,Bolivian Unicyclist,6,2007,3982
265,264,5655,2007-04-16 17:47:00,FunPika,34,2007,4016
266,265,5654,2007-04-16 17:47:00,Stanley011,0,2007,4016
267,267,5656,2007-04-16 17:47:00,John Stattic,-113,2007,3903
268,271,5650,2007-04-16 17:48:00,Kingclyde,0,2007,3903
269,270,5651,2007-04-16 17:48:00,Dale Arnett,32,2007,3935
270,272,5649,2007-04-16 17:48:00,24fanatics,-13,2007,3922
271,268,5653,2007-04-16 17:48:00,Stanley011,0,2007,3922
272,269,5652,2007-04-16 17:48:00,24fanatics,49,2007,3971
273,273,5648,2007-04-16 17:49:00,Midkay,96,2007,4067
274,274,5647,2007-04-16 17:49:00,Bolivian Unicyclist,21,2007,4088
275,275,5646,2007-04-16 17:49:00,Gamer112,-150,2007,3938
276,276,5645,2007-04-16 17:49:00,Yaf,5,2007,3943
277,277,5644,2007-04-16 17:49:00,Rjp0i,0,2007,3943
278,278,5643,2007-04-16 17:50:00,Jmw0000,-3,2007,3940
279,279,5642,2007-04-16 17:50:00,Stanley011,0,2007,3940
280,285,5640,2007-04-16 17:51:00,John Reaves,0,2007,3940
281,284,5638,2007-04-16 17:51:00,Justincosio,-32,2007,3908
282,283,5641,2007-04-16 17:51:00,Wittylama,0,2007,3908
283,282,5639,2007-04-16 17:51:00,Alphachimp,-5,2007,3903
284,281,5637,2007-04-16 17:51:00,THF,39,2007,3942
285,280,5636,2007-04-16 17:51:00,Dale Arnett,36,2007,3978
286,286,5635,2007-04-16 17:52:00,ElKevbo,-4,2007,3974
287,287,5634,2007-04-16 17:52:00,Fsu23phd,0,2007,3974
288,288,5633,2007-04-16 17:52:00,DenniZvb,0,2007,3974
289,289,5632,2007-04-16 17:52:00,ElKevbo,7,2007,3981
290,290,5631,2007-04-16 17:52:00,John Reaves,-94,2007,3887
291,295,5627,2007-04-16 17:53:00,Kingclyde,98,2007,3985
292,294,5628,2007-04-16 17:53:00,Dale Arnett,26,2007,4011
293,293,5629,2007-04-16 17:53:00,DenniZvb,0,2007,4011
294,292,5630,2007-04-16 17:53:00,Fsu23phd,0,2007,4011
295,291,5626,2007-04-16 17:53:00,Umedard,0,2007,4011
296,296,5621,2007-04-16 17:54:00,Dale Arnett,65,2007,4076
297,297,5622,2007-04-16 17:54:00,Chrislk02,0,2007,4076
298,298,5625,2007-04-16 17:54:00,Kingclyde,-58,2007,4018
299,299,5624,2007-04-16 17:54:00,4.88.154.133,-11,2007,4007
300,300,5623,2007-04-16 17:54:00,Rjp0i,4,2007,4011
301,303,5618,2007-04-16 17:55:00,Petska~enwiki,1,2007,4012
302,304,5617,2007-04-16 17:55:00,EnviroGranny,31,2007,4043
303,301,5620,2007-04-16 17:55:00,John Stattic,-50,2007,3993
304,302,5619,2007-04-16 17:55:00,Bolivian Unicyclist,20,2007,4013
305,305,5616,2007-04-16 17:56:00,65.199.254.45,159,2007,4172
306,306,5615,2007-04-16 17:56:00,Jmw0000,-3,2007,4169
307,307,5614,2007-04-16 17:56:00,John Stattic,0,2007,4169
308,308,5613,2007-04-16 17:56:00,Chelkey,114,2007,4283
309,309,5612,2007-04-16 17:56:00,John Stattic,11,2007,4294
310,310,5607,2007-04-16 17:57:00,Kizor,-186,2007,4108
311,311,5608,2007-04-16 17:57:00,193.11.196.211,0,2007,4108
312,312,5610,2007-04-16 17:57:00,59.115.99.40,0,2007,4108
313,313,5611,2007-04-16 17:57:00,128.143.70.115,0,2007,4108
314,314,5609,2007-04-16 17:57:00,HappyCamper,25,2007,4133
315,319,5601,2007-04-16 17:58:00,Bfinn,96,2007,4229
316,318,5602,2007-04-16 17:58:00,Mediumemu,69,2007,4298
317,317,5604,2007-04-16 17:58:00,193.11.196.211,0,2007,4298
318,315,5606,2007-04-16 17:58:00,89.241.168.213,6,2007,4304
319,316,5605,2007-04-16 17:58:00,HappyCamper,0,2007,4304
320,320,5598,2007-04-16 17:59:00,67.189.145.208,-69,2007,4235
321,321,5600,2007-04-16 17:59:00,59.115.99.40,0,2007,4235
322,322,5599,2007-04-16 17:59:00,Golbez,0,2007,4235
323,323,5597,2007-04-16 18:00:00,128.180.210.19,0,2007,4235
324,324,5596,2007-04-16 18:00:00,Jon Ace,0,2007,4235
325,325,5595,2007-04-16 18:00:00,74.64.90.177,50,2007,4285
326,326,5594,2007-04-16 18:00:00,Bfinn,1,2007,4286
327,327,5593,2007-04-16 18:00:00,90.193.73.29,0,2007,4286
328,328,5592,2007-04-16 18:00:00,SirFozzie,-296,2007,3990
329,331,5589,2007-04-16 18:01:00,Chelkey,16,2007,4006
330,330,5590,2007-04-16 18:01:00,128.180.210.19,0,2007,4006
331,329,5591,2007-04-16 18:01:00,Halo,72,2007,4078
332,332,5585,2007-04-16 18:02:00,90.193.73.29,1,2007,4079
333,333,5588,2007-04-16 18:02:00,195.184.109.162,0,2007,4079
334,334,5587,2007-04-16 18:02:00,The Badge Man,13,2007,4092
335,335,5586,2007-04-16 18:02:00,Chelkey,11,2007,4103
336,336,5584,2007-04-16 18:03:00,195.184.109.162,0,2007,4103
337,337,5583,2007-04-16 18:03:00,Verdafolio,3,2007,4106
338,338,5582,2007-04-16 18:03:00,68.63.32.21,0,2007,4106
339,339,5581,2007-04-16 18:03:00,59.115.99.40,0,2007,4106
340,345,5577,2007-04-16 18:04:00,Gamer112,107,2007,4213
341,344,5580,2007-04-16 18:04:00,John Stattic,-83,2007,4130
342,343,5578,2007-04-16 18:04:00,Mr Ernie,0,2007,4130
343,341,5576,2007-04-16 18:04:00,T-rex,-47,2007,4083
344,340,5575,2007-04-16 18:04:00,141.109.56.143,-77,2007,4006
345,342,5579,2007-04-16 18:04:00,J. Achilles Troy,8,2007,4014
346,346,5574,2007-04-16 18:05:00,Cloudz679,9,2007,4023
347,347,5573,2007-04-16 18:05:00,137.112.141.137,-2,2007,4021
348,348,5572,2007-04-16 18:05:00,Jmw0000,129,2007,4150
349,349,5571,2007-04-16 18:05:00,Juzz101,84,2007,4234
350,350,5570,2007-04-16 18:05:00,59.115.99.40,26,2007,4260
351,351,5569,2007-04-16 18:05:00,Mr Ernie,0,2007,4260
352,352,5568,2007-04-16 18:05:00,Shawn Pickrell,-2,2007,4258
353,353,5567,2007-04-16 18:05:00,Block1of4,53,2007,4311
354,361,5562,2007-04-16 18:06:00,JerseyDevil26,50,2007,4361
355,360,5566,2007-04-16 18:06:00,Wittylama,-50,2007,4311
356,359,5564,2007-04-16 18:06:00,68.63.32.21,36,2007,4347
357,358,5563,2007-04-16 18:06:00,59.115.99.40,-4,2007,4343
358,354,5558,2007-04-16 18:06:00,89.201.152.133,0,2007,4343
359,356,5560,2007-04-16 18:06:00,Chelkey,26,2007,4369
360,355,5559,2007-04-16 18:06:00,Kingbird1,29,2007,4398
361,357,5565,2007-04-16 18:06:00,Jmw0000,8,2007,4406
362,368,5556,2007-04-16 18:07:00,Block1of4,153,2007,4559
363,369,5553,2007-04-16 18:07:00,81.179.195.34,-15,2007,4544
364,367,5555,2007-04-16 18:07:00,Bfinn,-153,2007,4391
365,366,5554,2007-04-16 18:07:00,Shawn Pickrell,152,2007,4543
366,365,5557,2007-04-16 18:07:00,RyanGerbil10,0,2007,4543
367,364,5552,2007-04-16 18:07:00,66.153.202.150,82,2007,4625
368,363,5550,2007-04-16 18:07:00,76.107.135.187,-1,2007,4624
369,362,5551,2007-04-16 18:07:00,85.146.57.172,13,2007,4637
370,379,5540,2007-04-16 18:08:00,207.127.241.2,0,2007,4637
371,377,5542,2007-04-16 18:08:00,82.136.48.145,0,2007,4637
372,376,5543,2007-04-16 18:08:00,76.107.135.187,-12,2007,4625
373,375,5544,2007-04-16 18:08:00,Jmw0000,34,2007,4659
374,378,5541,2007-04-16 18:08:00,66.153.202.150,-82,2007,4577
375,373,5546,2007-04-16 18:08:00,207.148.211.89,0,2007,4577
376,372,5547,2007-04-16 18:08:00,Silvonen,28,2007,4605
377,371,5548,2007-04-16 18:08:00,85.146.57.172,-1,2007,4604
378,370,5549,2007-04-16 18:08:00,59.115.99.40,-5,2007,4599
379,374,5545,2007-04-16 18:08:00,86.136.172.223,9,2007,4608
380,380,5534,2007-04-16 18:09:00,141.109.56.143,-319,2007,4289
381,381,5535,2007-04-16 18:09:00,76.181.119.245,1,2007,4290
382,382,5536,2007-04-16 18:09:00,Chunky Rice,85,2007,4375
383,383,5537,2007-04-16 18:09:00,59.115.99.40,-53,2007,4322
384,384,5538,2007-04-16 18:09:00,Jmw0000,64,2007,4386
385,385,5539,2007-04-16 18:09:00,207.148.211.89,0,2007,4386
386,392,5527,2007-04-16 18:10:00,Alfiboy,0,2007,4386
387,395,5524,2007-04-16 18:10:00,Block1of4,208,2007,4594
388,394,5525,2007-04-16 18:10:00,Gamer112,112,2007,4706
389,393,5526,2007-04-16 18:10:00,59.115.99.40,29,2007,4735
390,391,5528,2007-04-16 18:10:00,207.148.211.89,0,2007,4735
391,387,5532,2007-04-16 18:10:00,192.223.226.6,-51,2007,4684
392,389,5530,2007-04-16 18:10:00,207.127.241.2,-5,2007,4679
393,388,5531,2007-04-16 18:10:00,70.185.167.115,23,2007,4702
