,date,user,change_amt
117,"01:08, 10 November 2007",88.114.42.60,+380
118,"00:28, 10 November 2007",Pudeo,−70
119,"00:22, 10 November 2007",212.1.150.113,+70
120,"21:55, 9 November 2007",Piggggu,+4
121,"21:53, 9 November 2007",Piggggu,+9
122,"21:47, 9 November 2007",Piggggu,+27
123,"21:46, 9 November 2007",Piggggu,−133
124,"21:45, 9 November 2007",Piggggu,+135
125,"21:42, 9 November 2007",Blood Red Sandman,+49
126,"21:41, 9 November 2007",Peltimikko,0
127,"21:38, 9 November 2007",Peltimikko,+129
128,"21:34, 9 November 2007",38.98.66.90,−1
129,"21:28, 9 November 2007",Weasel123,+1
130,"21:26, 9 November 2007",MoRsE,+83
131,"21:23, 9 November 2007",MoRsE,−16
132,"21:22, 9 November 2007",MoRsE,+1
133,"21:13, 9 November 2007",Ageekgal,0
134,"21:12, 9 November 2007",Ageekgal,−1
135,"21:03, 9 November 2007",213.48.73.89,−30
136,"20:53, 9 November 2007",88.195.14.243,−14
137,"20:53, 9 November 2007",Grimne,−3
138,"20:51, 9 November 2007",MoRsE,+44
139,"20:46, 9 November 2007",Prolog,−123
140,"20:45, 9 November 2007",88.195.14.243,+123
141,"20:44, 9 November 2007",Peltimikko,−30
142,"20:41, 9 November 2007",88.195.14.243,+30
143,"20:33, 9 November 2007",Prolog,−30
144,"20:31, 9 November 2007",88.195.14.243,+30
145,"20:29, 9 November 2007",Pudeo,−30
146,"20:28, 9 November 2007",90.200.232.215,0
147,"20:26, 9 November 2007",88.195.14.243,−6
148,"20:22, 9 November 2007",Peltimikko,+5
149,"20:20, 9 November 2007",88.195.14.243,−3
150,"20:19, 9 November 2007",88.195.14.243,−8
151,"20:18, 9 November 2007",88.195.14.243,+52
152,"20:14, 9 November 2007",212.86.22.50,+31
153,"20:12, 9 November 2007",SmackBot,+21
154,"20:11, 9 November 2007",212.86.22.50,+16
155,"20:10, 9 November 2007",Prolog,+41
156,"20:08, 9 November 2007",Prolog,
157,"20:08, 9 November 2007",Peltimikko,+41
158,"20:07, 9 November 2007",62.44.217.60,−97
159,"20:05, 9 November 2007",62.44.217.60,+190
160,"20:05, 9 November 2007",88.195.14.243,
161,"20:05, 9 November 2007",79.66.216.250,−32
162,"20:01, 9 November 2007",Peltimikko,+160
163,"19:47, 9 November 2007",Peltimikko,−405
164,"19:43, 9 November 2007",82.181.209.81,
165,"19:21, 9 November 2007",86.160.65.242,+7
166,"19:20, 9 November 2007",Prolog,
167,"19:15, 9 November 2007",Prolog,−304
168,"19:11, 9 November 2007",Iceshark7,+9
169,"19:09, 9 November 2007",Iceshark7,+17
170,"19:08, 9 November 2007",Prolog,−32
171,"19:07, 9 November 2007",Iceshark7,−10
172,"19:05, 9 November 2007",88.195.14.243,+32
173,"19:01, 9 November 2007",Iceshark7,+24
174,"18:55, 9 November 2007",Iceshark7,+13
175,"18:51, 9 November 2007",Iceshark7,+12
176,"18:46, 9 November 2007",213.48.73.89,+2
177,"18:44, 9 November 2007",88.195.14.243,+36
178,"18:43, 9 November 2007",88.195.14.243,+25
179,"18:40, 9 November 2007",213.48.73.89,−10
180,"18:38, 9 November 2007",88.195.14.243,+62
181,"18:35, 9 November 2007",88.195.14.243,+1
182,"18:35, 9 November 2007",82.181.209.81,+8
183,"18:33, 9 November 2007",88.195.14.243,+9
184,"18:32, 9 November 2007",82.181.209.81,+499
185,"18:30, 9 November 2007",88.195.14.243,+66
186,"17:41, 9 November 2007",Ishikawa Minoru,+2
187,"17:41, 9 November 2007",Peltimikko,−109
188,"17:21, 9 November 2007",88.114.238.161,−25
189,"16:45, 9 November 2007",67.135.49.158,−1
190,"16:25, 9 November 2007",69.7.69.136,0
191,"16:20, 9 November 2007",209.66.201.89,−2
192,"16:20, 9 November 2007",Benmento~enwiki,0
193,"16:15, 9 November 2007",Pudeo,−8
194,"14:36, 9 November 2007",Escarbot,+15
195,"14:32, 9 November 2007",91.154.198.123,+13
196,"14:05, 9 November 2007",MoRsE,+69
197,"13:38, 9 November 2007",84.250.158.79,0
198,"13:26, 9 November 2007",Peltimikko,−44
199,"13:22, 9 November 2007",Peltimikko,−25
200,"13:12, 9 November 2007",Peltimikko,−7
201,"13:10, 9 November 2007",Peltimikko,+112
202,"13:05, 9 November 2007",Peltimikko,+55
203,"12:57, 9 November 2007",Peltimikko,−367
204,"12:55, 9 November 2007",Jóhann Heiðar Árnason,0
205,"12:51, 9 November 2007",MPorciusCato,+382
206,"12:41, 9 November 2007",62.95.69.219,+25
207,"12:37, 9 November 2007",24.211.233.33,+17
208,"12:33, 9 November 2007",MER-C,
209,"12:33, 9 November 2007",85.227.139.43,
210,"12:29, 9 November 2007",85.227.139.43,+4
211,"12:22, 9 November 2007",LarRan,−265
212,"12:17, 9 November 2007",Java13690,+40
213,"12:16, 9 November 2007",LarRan,+1
214,"12:14, 9 November 2007",LarRan,−1
215,"12:02, 9 November 2007",Java13690,−39
216,"11:57, 9 November 2007",88.82.166.109,−106
217,"11:40, 9 November 2007",88.82.166.109,+106
218,"11:39, 9 November 2007",VoABot II,
219,"11:39, 9 November 2007",192.100.124.219,
220,"11:20, 9 November 2007",Peltimikko,−32
221,"10:58, 9 November 2007",Elrith,−4
222,"10:57, 9 November 2007",Elrith,−159
223,"10:56, 9 November 2007",62.165.128.200,+267
224,"10:39, 9 November 2007",Peltimikko,+3
225,"10:35, 9 November 2007",Chessy999,+41
226,"10:08, 9 November 2007",86.149.66.197,0
227,"09:58, 9 November 2007",192.100.124.218,+62
228,"09:53, 9 November 2007",88.193.16.207,−340
229,"09:43, 9 November 2007",82.181.177.32,−110
230,"09:30, 9 November 2007",Manmanwiki,+452
231,"09:21, 9 November 2007",218.188.146.227,−13
232,"08:25, 9 November 2007",7swords,−48
233,"08:25, 9 November 2007",24.18.42.165,+6
234,"08:21, 9 November 2007",Camptown,+9
235,"08:19, 9 November 2007",Camptown,+77
236,"08:14, 9 November 2007",84.253.196.250,+2
237,"08:10, 9 November 2007",84.253.196.250,+54
238,"08:09, 9 November 2007",Teggles,−2
239,"07:32, 9 November 2007",MPorciusCato,+79
240,"07:12, 9 November 2007",Pasi,+115
241,"07:00, 9 November 2007",Alison,
242,"06:50, 9 November 2007",Apmab1,
243,"05:49, 9 November 2007",Kurt Leyman,+5
244,"05:24, 9 November 2007",Peltimikko,+138
245,"05:08, 9 November 2007",76.5.154.186,−182
246,"05:03, 9 November 2007",218.188.146.227,+13
247,"04:52, 9 November 2007",Ageekgal,−4
248,"04:52, 9 November 2007",Prolog,
249,"04:51, 9 November 2007",82.130.44.9,−8
250,"04:51, 9 November 2007",Ageekgal,+8
251,"04:43, 9 November 2007",Peltimikko,+76
252,"04:42, 9 November 2007",Ageekgal,−8
253,"04:39, 9 November 2007",Ageekgal,+36
254,"04:38, 9 November 2007",Peltimikko,+310
255,"03:57, 9 November 2007",69.29.74.115,+3
256,"03:54, 9 November 2007",69.29.74.115,+58
257,"03:50, 9 November 2007",69.29.74.115,+2
258,"03:50, 9 November 2007",Kinkku Ananas,+98
259,"03:49, 9 November 2007",69.29.74.115,−24
260,"03:49, 9 November 2007",69.29.74.115,
261,"03:40, 9 November 2007",Apmab1,
262,"03:30, 9 November 2007",Prolog,+2
263,"03:24, 9 November 2007",190.140.78.174,−2
264,"03:09, 9 November 2007",Zoicon5,−1
265,"03:01, 9 November 2007",81.175.241.107,0
266,"02:39, 9 November 2007",69.228.208.118,−34
267,"02:32, 9 November 2007",HenryLi,−1
268,"02:07, 9 November 2007",Alrokrrr,0
269,"02:06, 9 November 2007",Alrokrrr,+71
270,"02:06, 9 November 2007",Alrokrrr,−70
271,"02:05, 9 November 2007",Alrokrrr,0
272,"02:05, 9 November 2007",Alrokrrr,+70
273,"02:04, 9 November 2007",Alrokrrr,−70
274,"01:39, 9 November 2007",Prolog,+136
275,"01:27, 9 November 2007",Dgies,−31
276,"01:23, 9 November 2007",Prolog,
277,"00:42, 9 November 2007",Prolog,+19
278,"00:37, 9 November 2007",82.0.126.36,−19
279,"00:19, 9 November 2007",Alrokrrr,0
280,"00:06, 9 November 2007",Chaser,+12
281,"21:41, 8 November 2007",Halfabeet,0
282,"21:39, 8 November 2007",201.222.225.46,−3
283,"21:35, 8 November 2007",Pudeo,−11
284,"21:32, 8 November 2007",88.195.14.243,−26
285,"21:30, 8 November 2007",88.195.14.243,−37
286,"21:25, 8 November 2007",88.195.14.243,+11
287,"21:23, 8 November 2007",SouthernNights,−33
288,"21:21, 8 November 2007",88.195.14.243,+33
289,"21:05, 8 November 2007",84.248.8.223,0
290,"20:54, 8 November 2007",203.0.101.131,−56
291,"20:48, 8 November 2007",141.210.234.156,−173
292,"20:47, 8 November 2007",141.210.234.156,−187
293,"20:38, 8 November 2007",Jágrmeister,+4
294,"20:36, 8 November 2007",Jágrmeister,−17
295,"20:35, 8 November 2007",Jágrmeister,+154
296,"20:16, 8 November 2007",IceKarma,+6
297,"20:11, 8 November 2007",Skizzik,−9
298,"20:09, 8 November 2007",24.224.154.23,+9
299,"19:59, 8 November 2007",IceKarma,−4
300,"19:52, 8 November 2007",WikiCou,+37
301,"19:50, 8 November 2007",AssegaiAli,−51
302,"19:40, 8 November 2007",81.101.253.108,−4
303,"19:27, 8 November 2007",Chaser,−203
304,"19:09, 8 November 2007",Skizzik,+1
305,"19:06, 8 November 2007",Prolog,−144
306,"19:04, 8 November 2007",Caulde,0
307,"18:47, 8 November 2007",WikiCou,+1
308,"18:38, 8 November 2007",TsarKing,0
309,"18:36, 8 November 2007",Skizzik,−2
310,"18:33, 8 November 2007",79.178.87.87,+48
311,"18:24, 8 November 2007",Mailalexandremartins,+56
312,"18:22, 8 November 2007",Chaser,−64
313,"18:22, 8 November 2007",Mailalexandremartins,+8
314,"18:20, 8 November 2007",Mailalexandremartins,+56
315,"18:13, 8 November 2007",Peltimikko,−20
316,"18:09, 8 November 2007",88.114.42.60,
317,"18:03, 8 November 2007",Pudeo,−56
318,"18:02, 8 November 2007",Pudeo,+101
319,"17:55, 8 November 2007",67.42.12.200,−40
320,"17:54, 8 November 2007",Prolog,−84
321,"17:54, 8 November 2007",208.67.142.93,+84
322,"17:29, 8 November 2007",83.109.143.40,+153
323,"17:08, 8 November 2007",Juicyfruit14,+28
324,"17:03, 8 November 2007",195.100.17.46,0
325,"17:02, 8 November 2007",195.100.17.46,+26
326,"17:00, 8 November 2007",195.100.17.46,+128
327,"17:00, 8 November 2007",66.92.127.194,−3
328,"16:58, 8 November 2007",Pudeo,−257
329,"16:57, 8 November 2007",195.100.17.46,+176
330,"16:42, 8 November 2007",58.173.218.53,+83
331,"16:41, 8 November 2007",143.166.255.57,−6
332,"16:41, 8 November 2007",143.166.255.57,+4
333,"16:30, 8 November 2007",200.108.14.206,0
334,"16:30, 8 November 2007",Zingostar,+8
335,"16:18, 8 November 2007",ClueBot,−27
336,"16:18, 8 November 2007",86.43.163.201,+27
337,"16:16, 8 November 2007",Ageekgal,−104
338,"16:15, 8 November 2007",205.132.248.2,+104
339,"16:10, 8 November 2007",Skizzik,−2
340,"16:07, 8 November 2007",66.154.147.133,+2
341,"16:05, 8 November 2007",Ageekgal,0
342,"16:04, 8 November 2007",Ahudson,−10
343,"15:59, 8 November 2007",SailorAlphaCentauri,−1
344,"15:54, 8 November 2007",Almost Anonymous,−122
345,"15:53, 8 November 2007",Prolog,−1
346,"15:51, 8 November 2007",Dreamafter,+1
347,"15:32, 8 November 2007",WhisperToMe,−4
348,"15:17, 8 November 2007",Blankku,+10
349,"15:12, 8 November 2007",67.135.49.158,+66
350,"15:03, 8 November 2007",80.40.144.68,+2
351,"15:03, 8 November 2007",Speculoos,+325
352,"15:03, 8 November 2007",Svetovid,
353,"15:02, 8 November 2007",80.40.144.68,+1
354,"15:02, 8 November 2007",85.120.80.48,+144
355,"15:01, 8 November 2007",80.40.144.68,+116
356,"14:59, 8 November 2007",Zamphuor,−32
357,"14:48, 8 November 2007",80.56.231.135,+2
358,"14:46, 8 November 2007",80.56.231.135,+5
359,"14:46, 8 November 2007",195.188.173.184,+1
360,"14:44, 8 November 2007",80.56.231.135,+21
361,"14:39, 8 November 2007",80.56.231.135,0
362,"14:38, 8 November 2007",193.209.71.2,−1
363,"14:37, 8 November 2007",80.56.231.135,
364,"14:32, 8 November 2007",Godcast,−64
365,"14:29, 8 November 2007",Svetovid,−358
366,"14:09, 8 November 2007",Peltimikko,−40
367,"14:03, 8 November 2007",218.188.146.227,+4
368,"14:02, 8 November 2007",Peltimikko,+7
369,"14:01, 8 November 2007",Xfa,+253
370,"14:00, 8 November 2007",Ot,+33
371,"13:57, 8 November 2007",7swords,−41
372,"13:48, 8 November 2007",153.1.30.143,+9
373,"13:45, 8 November 2007",153.1.30.143,0
374,"13:45, 8 November 2007",153.1.30.143,−13
375,"13:44, 8 November 2007",Prolog,−1
376,"13:44, 8 November 2007",80.222.113.155,+1
377,"13:32, 8 November 2007",218.188.146.227,+35
378,"13:31, 8 November 2007",Camptown,−8
379,"13:30, 8 November 2007",Prolog,−6
380,"13:28, 8 November 2007",Camptown,+33
381,"13:27, 8 November 2007",Peltimikko,
382,"13:13, 8 November 2007",Camptown,+2
383,"13:11, 8 November 2007",Ageekgal,−89
384,"13:06, 8 November 2007",66.232.118.159,+89
385,"12:56, 8 November 2007",Zanzinger~enwiki,+23
386,"12:53, 8 November 2007",Zanzinger~enwiki,+485
387,"12:47, 8 November 2007",80.212.166.101,+25
388,"12:45, 8 November 2007",80.212.166.101,+323
389,"12:44, 8 November 2007",88.105.127.130,+6
390,"12:33, 8 November 2007",Dogah,0
391,"12:27, 8 November 2007",Zanzinger~enwiki,+4
392,"12:27, 8 November 2007",91.155.181.99,−26
393,"12:20, 8 November 2007",Zanzinger~enwiki,+399
394,"12:11, 8 November 2007",Toni S.,+1
395,"12:10, 8 November 2007",Toni S.,+74
396,"12:10, 8 November 2007",AntiSpamBot,−139
397,"12:10, 8 November 2007",The monkeyhate,−1
398,"12:10, 8 November 2007",The monkeyhate,+140
399,"12:08, 8 November 2007",195.148.188.92,+29
400,"12:05, 8 November 2007",Toni S.,+87
401,"11:56, 8 November 2007",62.237.139.253,−1
402,"11:54, 8 November 2007",Toni S.,+5
403,"11:53, 8 November 2007",62.237.139.253,+34
404,"11:52, 8 November 2007",MPorciusCato,
405,"11:51, 8 November 2007",Toni S.,+1
406,"11:50, 8 November 2007",194.100.132.223,−14
407,"11:29, 8 November 2007",IceKarma,
408,"11:27, 8 November 2007",IceKarma,+14
409,"11:25, 8 November 2007",85.197.234.155,
410,"11:09, 8 November 2007",Cyanolinguophile,+2
411,"11:04, 8 November 2007",Lightmouse,−3
412,"10:51, 8 November 2007",Viriatus,+56
413,"10:27, 8 November 2007",192.100.124.218,−4
414,"10:15, 8 November 2007",82.157.241.241,−4
415,"10:13, 8 November 2007",Apecat,−1
416,"10:00, 8 November 2007",Apecat,+97
417,"09:57, 8 November 2007",97198,0
418,"09:55, 8 November 2007",Apecat,+173
419,"09:48, 8 November 2007",Apecat,+34
420,"09:34, 8 November 2007",81.100.206.127,+98
421,"09:31, 8 November 2007",Newone,+48
422,"09:18, 8 November 2007",Espoo,+10
423,"09:08, 8 November 2007",Espoo,+12
424,"08:56, 8 November 2007",Z10x,+20
425,"08:46, 8 November 2007",ElfQrin,+34
426,"08:38, 8 November 2007",86.160.65.242,+18
427,"08:33, 8 November 2007",Nagromtpc,−1
428,"08:26, 8 November 2007",Z10x,+250
429,"08:21, 8 November 2007",7swords,−11
430,"08:19, 8 November 2007",ClueBot,−104
431,"08:19, 8 November 2007",82.215.229.70,+104
432,"08:15, 8 November 2007",IceKarma,0
433,"08:14, 8 November 2007",IceKarma,+3
434,"08:12, 8 November 2007",Zanzinger~enwiki,+58
435,"08:10, 8 November 2007",Pixelface,−19
436,"08:10, 8 November 2007",Peltimikko,+318
437,"08:04, 8 November 2007",85.227.139.43,+58
438,"07:41, 8 November 2007",Blood Red Sandman,+1
439,"07:40, 8 November 2007",Peltimikko,+22
440,"07:36, 8 November 2007",Z10x,−82
441,"07:35, 8 November 2007",Nagromtpc,+15
442,"07:32, 8 November 2007",Nagromtpc,−8
443,"07:11, 8 November 2007",Soberisnotcool,−55
444,"07:07, 8 November 2007",Soberisnotcool,+8
445,"06:50, 8 November 2007",Peltimikko,+137
446,"06:47, 8 November 2007",Pixelface,−137
447,"06:45, 8 November 2007",81.175.241.107,0
448,"06:44, 8 November 2007",Binrapt,−54
449,"06:40, 8 November 2007",Pixelface,
450,"06:38, 8 November 2007",Peltimikko,
451,"06:33, 8 November 2007",Rastrojo,+39
452,"06:12, 8 November 2007",Jpatokal,−2
453,"06:11, 8 November 2007",Superbowlbound,0
454,"06:04, 8 November 2007",81.157.176.174,−14
455,"06:00, 8 November 2007",Peltimikko,−1
456,"05:57, 8 November 2007",MoRsE,0
457,"05:53, 8 November 2007",MoRsE,+26
458,"05:51, 8 November 2007",59.167.216.54,+74
459,"05:50, 8 November 2007",MoRsE,+8
460,"05:48, 8 November 2007",Peltimikko,+137
461,"05:40, 8 November 2007",Prolog,+3
462,"05:35, 8 November 2007",208.19.15.117,−3
463,"05:30, 8 November 2007",151.199.53.48,−90
464,"05:15, 8 November 2007",VoABot II,−46
465,"05:15, 8 November 2007",202.161.0.74,+46
466,"05:09, 8 November 2007",VoABot II,−46
467,"05:09, 8 November 2007",202.161.0.74,+46
468,"04:41, 8 November 2007",220.233.100.32,+13
469,"04:34, 8 November 2007",Alrokrrr,+1
470,"04:31, 8 November 2007",Kurt Leyman,−137
471,"04:22, 8 November 2007",Prolog,0
472,"04:06, 8 November 2007",Pikajew,+161
473,"04:00, 8 November 2007",189.68.70.110,+31
474,"03:51, 8 November 2007",IceKarma,−1
475,"03:50, 8 November 2007",Pixelface,−161
476,"03:40, 8 November 2007",IceKarma,−46
477,"03:37, 8 November 2007",Jpatokal,−60
478,"03:37, 8 November 2007",Jpatokal,−11
479,"03:29, 8 November 2007",IceKarma,−60
480,"03:26, 8 November 2007",74.135.213.92,−5
481,"03:24, 8 November 2007",74.135.213.92,+62
482,"03:21, 8 November 2007",Jpatokal,−7
483,"03:19, 8 November 2007",74.135.213.92,+39
484,"03:07, 8 November 2007",Chensiyuan,0
485,"03:06, 8 November 2007",Chensiyuan,+1
486,"02:39, 8 November 2007",Kushal one,+1
487,"02:28, 8 November 2007",Kushal one,+20
488,"02:27, 8 November 2007",Kushal one,+7
489,"02:25, 8 November 2007",59.167.216.54,−19
490,"02:25, 8 November 2007",Canadaolympic989,+61
491,"02:24, 8 November 2007",59.167.216.54,+109
492,"02:22, 8 November 2007",99.247.167.217,−178
493,"02:07, 8 November 2007",59.167.216.54,+178
494,"02:06, 8 November 2007",Ageekgal,−31
495,"02:05, 8 November 2007",Raneksi,+4
496,"02:01, 8 November 2007",Ageekgal,+1
497,"01:59, 8 November 2007",Ixfd64,+28
498,"01:49, 8 November 2007",142.167.248.230,−3
499,"01:49, 8 November 2007",142.167.248.230,−42
500,"01:47, 8 November 2007",NeilN,−5
501,"01:41, 8 November 2007",82.71.48.158,+97
502,"01:41, 8 November 2007",SVTCobra,−55
503,"01:40, 8 November 2007",SVTCobra,+55
504,"01:36, 8 November 2007",82.71.48.158,+28
505,"01:34, 8 November 2007",82.3.154.170,+42
506,"01:30, 8 November 2007",139.142.199.109,−42
507,"01:28, 8 November 2007",82.3.154.170,+45
508,"01:24, 8 November 2007",Dale Arnett,+1
509,"01:23, 8 November 2007",202.126.87.66,+70
510,"01:03, 8 November 2007",Prolog,−138
511,"01:01, 8 November 2007",CaptainG,−29
512,"00:59, 8 November 2007",CaptainG,+228
513,"00:50, 8 November 2007",Peltimikko,−23
514,"00:48, 8 November 2007",79.185.249.228,+23
515,"00:45, 8 November 2007",209.202.42.242,0
516,"00:40, 8 November 2007",Chaser,−88
517,"00:39, 8 November 2007",Karldoh,−43
518,"00:39, 8 November 2007",Chaser,−22
519,"00:38, 8 November 2007",82.36.120.134,+22
520,"00:36, 8 November 2007",Apecat,+26
521,"00:32, 8 November 2007",82.36.120.134,+43
522,"00:31, 8 November 2007",Apecat,0
523,"00:30, 8 November 2007",Apecat,+141
524,"00:28, 8 November 2007",Peltimikko,+106
525,"00:21, 8 November 2007",Alrokrrr,+11
526,"00:18, 8 November 2007",Alrokrrr,+3
527,"00:18, 8 November 2007",Hermokeskus,−58
528,"00:18, 8 November 2007",Pixelface,+60
529,"00:17, 8 November 2007",Zalmelainen,0
530,"00:13, 8 November 2007",Prolog,+244
531,"00:11, 8 November 2007",Prolog,+143
532,"00:11, 8 November 2007",Hermokeskus,−244
533,"00:05, 8 November 2007",RoyBoy,−13
534,"00:04, 8 November 2007",128.61.88.20,+1
535,"00:04, 8 November 2007",RoyBoy,−26
536,"00:02, 8 November 2007",Prolog,+157
537,"22:12, 7 November 2007",Thisisbossi,+6
538,"22:09, 7 November 2007",75.141.225.20,−6
539,"22:08, 7 November 2007",Camptown,−3
540,"22:07, 7 November 2007",Alrokrrr,0
541,"22:06, 7 November 2007",Alrokrrr,+78
542,"22:02, 7 November 2007",Camptown,+38
543,"22:00, 7 November 2007",Camptown,−56
544,"21:59, 7 November 2007",Camptown,+6
545,"21:56, 7 November 2007",Tocino,+90
546,"21:55, 7 November 2007",Alrokrrr,+111
547,"21:50, 7 November 2007",Ennuified,+27
548,"21:50, 7 November 2007",88.114.125.46,+20
549,"21:49, 7 November 2007",88.114.55.39,−8
550,"21:48, 7 November 2007",KF,0
551,"21:48, 7 November 2007",MoRsE,+19
552,"21:47, 7 November 2007",Chaser,+3
553,"21:47, 7 November 2007",88.114.55.39,−26
554,"21:46, 7 November 2007",88.114.55.39,+201
555,"21:44, 7 November 2007",69.123.47.221,−25
556,"21:42, 7 November 2007",Peltimikko,+405
557,"21:42, 7 November 2007",MoRsE,+2
558,"21:40, 7 November 2007",88.114.55.39,+113
559,"21:37, 7 November 2007",Kingjeff,−4
560,"21:35, 7 November 2007",142.167.236.41,+36
